icd_code,long_title,frequency
T83092A,"Other mechanical complication of nephrostomy catheter, initial encounter",6
O045,Genital tract and pelvic infection following (induced) termination of pregnancy,6
37630,"Exophthalmos, unspecified",6
41011,"Acute myocardial infarction of other anterior wall, initial episode of care",6
V0399XA,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter",6
E9011,Accident due to excessive cold of man-made origin,6
5300,Achalasia and cardiospasm,6
T39012A,"Poisoning by aspirin, intentional self-harm, initial encounter",6
K862,Cyst of pancreas,6
T450X1A,"Poisoning by antiallergic and antiemetic drugs, accidental (unintentional), initial encounter",6
65813,"Premature rupture of membranes, antepartum condition or complication",6
H8113,"Benign paroxysmal vertigo, bilateral",6
80700,"Closed fracture of rib(s), unspecified",6
8074,Flail chest,6
S52614A,"Nondisplaced fracture of right ulna styloid process, initial encounter for closed fracture",6
S52615A,"Nondisplaced fracture of left ulna styloid process, initial encounter for closed fracture",6
64403,"Threatened premature labor, antepartum condition or complication",6
T461X1A,"Poisoning by calcium-channel blockers, accidental (unintentional), initial encounter",6
S0102XA,"Laceration with foreign body of scalp, initial encounter",6
S32301A,"Unspecified fracture of right ilium, initial encounter for closed fracture",6
S01111D,"Laceration without foreign body of right eyelid and periocular area, subsequent encounter",6
9341,Foreign body in main bronchus,6
D329,"Benign neoplasm of meninges, unspecified",6
J159,Unspecified bacterial pneumonia,6
H8190,"Unspecified disorder of vestibular function, unspecified ear",6
T80218A,"Other infection due to central venous catheter, initial encounter",6
W311XXA,"Contact with metalworking machines, initial encounter",6
W320XXA,"Accidental handgun discharge, initial encounter",6
64294,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",6
S32391A,"Other fracture of right ilium, initial encounter for closed fracture",6
S32392A,"Other fracture of left ilium, initial encounter for closed fracture",6
2550,Cushing's syndrome,6
V9033,Drowning and submersion due to falling or jumping from other crushed powered watercraft,6
V9033,Retained wood fragments,6
3970,Diseases of tricuspid valve,6
0979,"Syphilis, unspecified",6
G248,Other dystonia,6
G2571,Drug induced akathisia,6
G2581,Restless legs syndrome,6
R203,Hyperesthesia,6
32382,Other causes of myelitis,6
V0410XA,"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",6
41041,"Acute myocardial infarction of other inferior wall, initial episode of care",6
K9412,Enterostomy infection,6
B0052,Herpesviral keratitis,6
S0262XA,"Fracture of subcondylar process of mandible, initial encounter for closed fracture",6
T33532A,"Superficial frostbite of left finger(s), initial encounter",6
T33821A,"Superficial frostbite of right foot, initial encounter",6
O4292,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",6
T84042A,"Periprosthetic fracture around internal prosthetic right knee joint, initial encounter",6
S02600A,"Fracture of unspecified part of body of mandible, unspecified side, initial encounter for closed fracture",6
S73004A,"Unspecified dislocation of right hip, initial encounter",6
9680,Poisoning by central nervous system muscle-tone depressants,6
S30860A,"Insect bite (nonvenomous) of lower back and pelvis, initial encounter",6
20780,"Other specified leukemia, without mention of having achieved remission",6
20920,Malignant carcinoid tumor of unknown primary site,6
36846,Homonymous bilateral field defects,6
3708,Other forms of keratitis,6
N6320,"Unspecified lump in the left breast, unspecified quadrant",6
N6452,Nipple discharge,6
N6459,Other signs and symptoms in breast,6
9031,Injury to brachial blood vessels,6
Y0809XA,"Assault by strike by other specified type of sport equipment, initial encounter",6
S31010A,"Laceration without foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter",6
L0109,Other impetigo,6
L02216,Cutaneous abscess of umbilicus,6
7213,Lumbosacral spondylosis without myelopathy,6
52331,"Aggressive periodontitis, localized",6
52462,"Temporomandibular joint disorders, arthralgia of temporomandibular joint",6
51902,Mechanical complication of tracheostomy,6
5206,Disturbances in tooth eruption,6
T8452XA,"Infection and inflammatory reaction due to internal left hip prosthesis, initial encounter",6
72292,"Other and unspecified disc disorder, thoracic region",6
L2089,Other atopic dermatitis,6
V8652XA,"Driver of snowmobile injured in nontraffic accident, initial encounter",6
V8655XA,"Driver of 3- or 4- wheeled all-terrain vehicle (ATV) injured in nontraffic accident, initial encounter",6
S0264XA,"Fracture of ramus of mandible, initial encounter for closed fracture",6
V536XXA,"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, initial encounter",6
T85520A,"Displacement of bile duct prosthesis, initial encounter",6
O468X2,"Other antepartum hemorrhage, second trimester",6
86229,Injury to other specified intrathoracic organs without mention of open wound into cavity,6
O8620,"Urinary tract infection following delivery, unspecified",6
G2402,Drug induced acute dystonia,6
S62622B,"Displaced fracture of middle phalanx of right middle finger, initial encounter for open fracture",6
S62623A,"Displaced fracture of middle phalanx of left middle finger, initial encounter for closed fracture",6
59682,Mechanical complication of cystostomy,6
I898,Other specified noninfective disorders of lymphatic vessels and lymph nodes,6
S59911A,"Unspecified injury of right forearm, initial encounter",6
9404,Other burn of cornea and conjunctival sac,6
T447X5A,"Adverse effect of beta-adrenoreceptor antagonists, initial encounter",6
S60122A,"Contusion of left index finger with damage to nail, initial encounter",6
S60131A,"Contusion of right middle finger with damage to nail, initial encounter",6
D492,"Neoplasm of unspecified behavior of bone, soft tissue, and skin",6
I2589,Other forms of chronic ischemic heart disease,6
179,"Malignant neoplasm of uterus, part unspecified",6
S62615B,"Displaced fracture of proximal phalanx of left ring finger, initial encounter for open fracture",6
S62617B,"Displaced fracture of proximal phalanx of left little finger, initial encounter for open fracture",6
V485XXA,"Car driver injured in noncollision transport accident in traffic accident, initial encounter",6
G030,Nonpyogenic meningitis,6
S0269XB,"Fracture of mandible of other specified site, initial encounter for open fracture",6
V652,Person feigning illness,6
V652,Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident,6
82531,Open fracture of astragalus,6
8605,Traumatic pneumohemothorax with open wound into thorax,6
S21312A,"Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter",6
2751,Disorders of copper metabolism,6
L501,Idiopathic urticaria,6
3839,Unspecified mastoiditis,6
M25569,Pain in unspecified knee,6
L231,Allergic contact dermatitis due to adhesives,6
S0280XA,"Fracture of other specified skull and facial bones, unspecified side, initial encounter for closed fracture",6
M3390,"Dermatopolymyositis, unspecified, organ involvement unspecified",6
M419,"Scoliosis, unspecified",6
30501,"Alcohol abuse, continuous",6
R4689,Other symptoms and signs involving appearance and behavior,6
V011,Pedestrian injured in collision with pedal cycle in traffic accident,6
9992,"Other vascular complications of medical care, not elsewhere classified",6
S129XXA,"Fracture of neck, unspecified, initial encounter",6
T2111XA,"Burn of first degree of chest wall, initial encounter",6
9871,Toxic effect of other hydrocarbon gas,6
M26622,Arthralgia of left temporomandibular joint,6
S62614A,"Displaced fracture of proximal phalanx of right ring finger, initial encounter for closed fracture",6
80300,"Other closed skull fracture without mention of intracranial injury, unspecified state of consciousness",6
S62314A,"Displaced fracture of base of fourth metacarpal bone, right hand, initial encounter for closed fracture",6
63380,Other ectopic pregnancy without intrauterine pregnancy,6
S60321A,"Blister (nonthermal) of right thumb, initial encounter",6
D589,"Hereditary hemolytic anemia, unspecified",6
I8501,Esophageal varices with bleeding,6
D6861,Antiphospholipid syndrome,6
4290,"Myocarditis, unspecified",6
V4031,Wandering in diseases classified elsewhere,6
49122,Obstructive chronic bronchitis with acute bronchitis,6
S0532XA,"Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter",6
L97319,Non-pressure chronic ulcer of right ankle with unspecified severity,6
72990,"Disorders of soft tissue, unspecified",6
S62322A,"Displaced fracture of shaft of third metacarpal bone, right hand, initial encounter for closed fracture",6
S62323A,"Displaced fracture of shaft of third metacarpal bone, left hand, initial encounter for closed fracture",6
S62395A,"Other fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture",6
80236,"Open fracture of mandible, symphysis of body",6
30460,"Other specified drug dependence, unspecified",6
79929,Other signs and symptoms involving emotional state,6
7994,Cachexia,6
6250,Dyspareunia,6
D72825,Bandemia,6
S61219A,"Laceration without foreign body of unspecified finger without damage to nail, initial encounter",6
85305,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",6
V011,Contact with or exposure to tuberculosis,6
E9421,Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use,6
E9422,Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use,6
E9426,Other antihypertensive agents causing adverse effects in therapeutic use,6
V0254,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus,6
85140,"Cerebellar or brain stem contusion without mention of open intracranial wound, unspecified state of consciousness",6
I779,"Disorder of arteries and arterioles, unspecified",6
T483X1A,"Poisoning by antitussives, accidental (unintentional), initial encounter",6
R875,Abnormal microbiological findings in specimens from female genital organs,6
V1204,Personal history of Methicillin resistant Staphylococcus aureus,6
9135,"Insect bite, nonvenomous, of elbow, forearm, and wrist, infected",6
9138,"Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection",6
X131XXA,"Other contact with steam and other hot vapors, initial encounter",6
X153XXA,"Contact with hot saucepan or skillet, initial encounter",6
V5950XA,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident, initial encounter",6
